id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language
27205,Inception,8.364,34495,Released,15/07/2010,825532764,148,FALSO,160000000,tt1375666,en
157336,Interstellar,8.417,32571,Released,5/11/2014,701729206,169,FALSO,165000000,tt0816692,en
155,The Dark Knight,8.512,30619,Released,16/07/2008,1004558444,152,FALSO,185000000,tt0468569,en
19995,Avatar,7.573,29815,Released,15/12/2009,2923706026,162,FALSO,237000000,tt0499549,en
24428,The Avengers,7.71,29166,Released,25/04/2012,1518815515,143,FALSO,220000000,tt0848228,en
293660,Deadpool,7.606,28894,Released,9/02/2016,783100000,108,FALSO,58000000,tt1431045,en
299536,Avengers: Infinity War,8.255,27713,Released,25/04/2018,2052415039,149,FALSO,300000000,tt4154756,en
550,Fight Club,8.438,27238,Released,15/10/1999,100853753,139,FALSO,63000000,tt0137523,en
118340,Guardians of the Galaxy,7.906,26638,Released,30/07/2014,772776600,121,FALSO,170000000,tt2015381,en
680,Pulp Fiction,8.488,25893,Released,10/09/1994,213900000,154,FALSO,8500000,tt0110912,en
13,Forrest Gump,8.477,25409,Released,23/06/1994,677387716,142,FALSO,55000000,tt0109830,en
671,Harry Potter and the Philosopher's Stone,7.916,25379,Released,16/11/2001,976475550,152,FALSO,125000000,tt0241527,en
1726,Iron Man,7.64,24874,Released,30/04/2008,585174222,126,FALSO,140000000,tt0371746,en
68718,Django Unchained,8.171,24672,Released,25/12/2012,425368238,165,FALSO,100000000,tt1853728,en
278,The Shawshank Redemption,8.702,24649,Released,23/09/1994,28341469,142,FALSO,25000000,tt0111161,en
299534,Avengers: Endgame,8.263,23857,Released,24/04/2019,2800000000,181,FALSO,356000000,tt4154796,en
603,The Matrix,8.206,23815,Released,30/03/1999,463517383,136,FALSO,63000000,tt0133093,en
597,Titanic,7.9,23637,Released,18/11/1997,2264162353,194,FALSO,200000000,tt0120338,en
475557,Joker,8.168,23425,Released,1/10/2019,1074458282,122,FALSO,55000000,tt7286456,en
120,The Lord of the Rings: The Fellowship of the Ring,8.402,23323,Released,18/12/2001,871368364,179,FALSO,93000000,tt0120737,en
122,The Lord of the Rings: The Return of the King,8.474,22334,Released,1/12/2003,1118888979,201,FALSO,94000000,tt0167260,en
